Time(ms),Input,PixelX,PixelY,Angle(deg)
24,▲,315,303,276
53,▲,315,303,276
83,▲,316,303,276
109,▲,315,303,276
137,▲,315,303,276
158,▲,315,303,276
175,▲,315,303,276
192,▲,315,303,276
223,▲,315,303,276
253,▲,315,303,275
275,▲,315,303,276
294,▲,314,302,276
316,▲,314,302,276
334,▲,314,302,276
350,▲,314,302,276
368,▲,314,301,276
385,▲,314,301,276
405,▲,314,301,276
424,▲,314,301,276
441,▲,314,300,276
457,▲,314,300,276
475,▲,313,300,276
493,▲,313,300,276
509,▲,313,299,275
526,▲,313,299,275
544,▲,313,299,275
560,▲,313,298,274
579,▲,313,298,274
603,▲,312,298,274
619,▲,312,298,274
636,▲,312,297,275
660,▲,312,297,275
678,▲,312,297,274
695,▲,312,296,274
715,▲,312,296,274
732,▲,312,296,275
750,▲,312,296,275
767,▲,312,295,274
793,▲,312,295,274
815,▲,312,295,274
839,▲,312,295,274
860,▲,311,294,274
883,▲,311,294,274
906,▲,311,293,274
925,▲,311,293,274
944,▲,311,293,273
968,▲,311,293,273
989,▲,311,292,273
1012,▲,311,292,274
1038,▲,311,292,273
1065,▲,311,292,273
1085,▲,310,291,272
1109,▲,310,291,272
1132,▲,310,290,272
1153,▲,310,290,272
1179,▲,310,289,272
1209,▲,310,289,272
1241,▲,310,289,272
1270,▲,310,288,272
1286,▲,309,288,273
1315,▲,309,287,272
1343,▲,309,287,271
1366,▲,309,287,271
1385,▲,309,286,270
1402,▲,309,286,271
1419,▲,309,286,271
1436,▲,308,285,271
1460,▲,308,285,271
1489,▲,308,285,271
1514,▲,308,284,270
1554,▲,308,283,271
1577,▲,308,283,271
1594,▲,308,283,271
1611,▲,308,282,270
1627,▲,308,282,270
1643,▲,307,282,271
1660,▲,307,282,271
1677,▲,307,281,270
1695,▲,307,281,270
1712,▲,307,281,270
1729,▲,307,280,269
1745,▲,307,280,269
1761,▲,307,280,270
1776,▲,307,280,270
1794,▲,306,279,269
1817,▲,306,279,269
1833,▲,306,279,269
1849,▲,306,279,269
1870,▲,306,278,269
1892,▲,306,278,269
1914,▲,306,278,269
1936,▲,305,277,269
1964,▲,305,277,269
1992,▲,305,277,269
2021,▲,305,276,268
2051,▲,305,276,269
2074,▲,305,275,268
2090,▲,305,275,268
2107,▲,305,275,268
2123,▲,305,275,268
2152,▲,305,274,268
2181,▲,304,274,268
2201,▲,304,273,268
2219,▲,304,273,268
2239,▲,304,273,268
2265,▲,304,273,268
2294,▲,303,272,268
2313,▲,303,272,267
2335,▲,303,271,266
2359,▲,303,271,266
2376,▲,303,271,267
2398,▲,303,271,267
2422,▲,303,271,266
2449,▲,303,270,267
2480,▲,303,270,265
2498,▲,303,270,265
2523,▲,302,269,266
2556,▲,302,269,265
2581,▲,302,268,265
2598,▲,302,268,265
2614,▲,302,268,265
2629,▲,302,267,265
2644,▲,302,267,265
2660,▲,302,267,264
2676,▲,302,267,264
2693,▲,302,266,264
2709,▲,302,266,264
2727,▲,301,266,264
2749,▲,301,266,264
2771,▲,301,266,264
2790,▲,301,265,264
2809,▲,301,265,264
2824,▲,301,265,264
2840,▲,301,264,263
2856,▲,301,264,263
2872,▲,301,264,264
2888,▲,301,264,264
2904,▲,301,263,263
2925,▲,301,263,263
2944,▲,300,263,263
2961,▲,300,262,263
2987,▲,300,262,263
3016,▲,300,261,262
